16/08/2026                                                                                          Página 1



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
HG1/09/Camb                   2092047   BH   BH.G    102350955  1847842   The Cambridge companion to Hippocrates /                    
HG1/09/Camp                   756227    BH   BH.G    100915200  915200    Memorandum de celebraciones centenarias en filosofía /      
HG1/09/Char                   1217149   BH   BH.G    102295349  1790306   Historia de las filosofías materialistas /                  
HG1/09/Chat                   90456     BH   BH.G    100090467  90467     Historia de la filosofía : ideas, doctrinas /               
HG1/09/Chat                   90445     BH   BH.G    100090453  90453     Historia de la filosofía : ideas, doctrinas /               
HG1/09/Chat                   90470     BH   BH.G    100090474  90474     Historia de la filosofía : ideas, doctrinas /               
HG1/09/Cohe                   1144703   BH   BH.G    102330155  1687067   Philosophical tales : being an alternative history revealing
HG1/09/Copl                   39739     BH   BH.G    100039741  39741     Historia de la filosofía /                                  
HG1/09/Copl                   39742     BH   BH.G    100039744  39744     Historia de la filosofía /                                  
HG1/09/Copl                   169262    BH   BH.G    100169267  169267    Historia de la filosofía /                                  
HG1/09/Copl                   169277    BH   BH.G    100169279  169279    Historia de la filosofía /                                  
HG1/09/Copl                   116607    BH   BH.G    100116619  116619    A history of medieval philosophy /                          
HG1/09/Copl                   894186    BH   BH.G    100894190  894190    Historia de la filosofía /                                  
HG1/09/Copl                   1101057   BH   BH.G    102118165  1630187   Historia de la filosofía /                                  
HG1/09/Copl                   98429     BH   BH.G    502105188  98434     Historia de la filosofía /                                  
HG1/09/Copl                   98438     BH   BH.G    502145941  1661468   Historia de la filosofía /                                  
HG1/09/Copl                   98438     BH   BH.G    102330250  98444     Historia de la filosofía /                                  
HG1/09/Copl                   98445     BH   BH.G    502105191  98448     Historia de la filosofía /                                  
HG1/09/Copl                   98452     BH   BH.G    102042302  98455     Historia de la filosofía /                                  
HG1/09/Copl                   98458     BH   BH.G    100098461  98461     Historia de la filosofía /                                  
HG1/09/Copl                   98464     BH   BH.G    100098466  98466     Historia de la filosofía /                                  
